imageforge-ai  | INFO:     Started server process [1]
Fetching 19 files:  21%|ÔûêÔûê        | 4/19 [07:44<34:07, 136.51s/it]
Fetching 19 files:  32%|ÔûêÔûêÔûêÔûÅ      | 6/19 [19:44<51:40, 238.52s/it]INFO:     Started server process [1]
imageforge-ai  | INFO:     Waiting for application startup.
imageforge-ai  | 2026-03-05 07:25:16,731 [INFO] app.main: AI servisi ba┼şlat─▒l─▒yor...
imageforge-ai  | 2026-03-05 07:25:20,795 [INFO] app.main: GPU mevcut: False
imageforge-ai  | 2026-03-05 07:25:20,795 [INFO] app.main: R2 Bucket: imageforge-dev
imageforge-ai  | 2026-03-05 07:25:20,795 [INFO] app.main: R2 Endpoint: https://320843f395214496f89171d37b985f3f.r2.cloudflarestorage.com
imageforge-ai  | 2026-03-05 07:25:20,795 [INFO] app.main: Base model: stabilityai/stable-diffusion-xl-base-1.0
imageforge-ai  | 2026-03-05 07:25:20,795 [INFO] app.main: Model ilk ├╝retim iste─şinde lazy-load edilecek.
imageforge-ai  | INFO:     Application startup complete.
imageforge-ai  | INFO:     Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
imageforge-ai  | INFO:     127.0.0.1:40044 - "GET /health HTTP/1.1" 200 OK
imageforge-ai  | INFO:     127.0.0.1:37348 - "GET /health HTTP/1.1" 200 OK
imageforge-ai  | INFO:     127.0.0.1:44328 - "GET /health HTTP/1.1" 200 OK
imageforge-ai  | INFO:     127.0.0.1:52604 - "GET /health HTTP/1.1" 200 OK
imageforge-ai  | INFO:     127.0.0.1:33668 - "GET /health HTTP/1.1" 200 OK
imageforge-ai  | INFO:     127.0.0.1:41484 - "GET /health HTTP/1.1" 200 OK
imageforge-ai  | INFO:     127.0.0.1:35686 - "GET /health HTTP/1.1" 200 OK
imageforge-ai  | INFO:     127.0.0.1:60180 - "GET /health HTTP/1.1" 200 OK
imageforge-ai  | 2026-03-05 07:29:30,895 [INFO] app.main: ├£retim iste─şi al─▒nd─▒ ÔÇö PromptId: 29141287-097b-4391-8c59-245a5d30353c, Model: DiscoElysium, ImageCount: 2
imageforge-ai  | INFO:     172.19.0.2:44134 - "POST /api/generate HTTP/1.1" 200 OK
imageforge-ai  | 2026-03-05 07:29:30,896 [INFO] app.main: ├£retim ba┼şl─▒yor ÔÇö PromptId: 29141287-097b-4391-8c59-245a5d30353c
imageforge-ai  | 2026-03-05 07:29:30,896 [INFO] app.pipeline: SDXL base model y├╝kleniyor: stabilityai/stable-diffusion-xl-base-1.0
